,rank,link,rankChange,title,isNetflixOriginal,points,change,countriesCnt,totalCountries,days,totalDays,total
115,116,https://flixpatrol.com/title/bling-empire/,n/a,Bling Empire,Netflix original title,2955,None,53,56,36,82,2955
116,117,https://flixpatrol.com/title/valeria/,n/a,Valeria,Netflix original title,2953,None,43,69,45,66,2953
117,118,https://flixpatrol.com/title/control-z/,n/a,Control Z,Netflix original title,2948,None,35,84,30,98,2948
118,119,https://flixpatrol.com/title/senora-acero/,n/a,"Acero, Woman of Steel",The general title,2932,None,18,163,130,23,2932
119,120,https://flixpatrol.com/title/how-to-become-a-tyrant/,n/a,How to Become a Tyrant,Netflix original title,2866,None,55,52,44,65,2866
120,121,https://flixpatrol.com/title/swat-2017/,n/a,S.W.A.T.,The general title,2814,None,15,188,63,45,2814
121,122,https://flixpatrol.com/title/top-secret-ufo-projects-declassified/,n/a,Top Secret UFO Projects: Declassified,Netflix original title,2779,None,66,42,23,121,2779
122,123,https://flixpatrol.com/title/the-chair-2021/,n/a,The Chair,Netflix original title,2759,None,61,45,19,145,2759
123,124,https://flixpatrol.com/title/love-marriage-divorce/,n/a,Love Marriage Divorce,Netflix original title,2639,None,11,240,122,22,2639
124,125,https://flixpatrol.com/title/love-marriage-divorce/,n/a,Love Marriage Divorce,Netflix original title,2639,None,11,240,122,22,2639
125,126,https://flixpatrol.com/title/the-walking-dead/,n/a,The Walking Dead,The general title,2624,None,49,54,97,27,2624
126,127,https://flixpatrol.com/title/spycraft/,n/a,Spycraft,Netflix original title,2580,None,52,50,21,123,2580
127,128,https://flixpatrol.com/title/too-hot-to-handle-brazil/,n/a,Too Hot to Handle: Brazil,Netflix original title,2571,None,42,61,33,78,2571
128,129,https://flixpatrol.com/title/deadly-class/,n/a,Deadly Class,The general title,2500,None,26,96,27,93,2500
129,130,https://flixpatrol.com/title/night-stalker-the-hunt-for-a-serial-killer/,n/a,Night Stalker: The Hunt For a Serial Killer,Netflix original title,2449,None,53,46,20,122,2449
130,131,https://flixpatrol.com/title/the-lost-pirate-kingdom/,n/a,The Lost Pirate Kingdom,Netflix original title,2432,None,73,33,14,174,2432
131,132,https://flixpatrol.com/title/snabba-cash/,n/a,Snabba Cash,Netflix original title,2412,None,30,80,71,34,2412
132,133,https://flixpatrol.com/title/run-on/,n/a,Run On,The general title,2359,None,32,74,73,32,2359
133,134,https://flixpatrol.com/title/go-dog-go/,n/a,Go Dog Go,Netflix original title,2297,None,48,48,29,79,2297
134,135,https://flixpatrol.com/title/selena-the-series/,n/a,Selena: The Series,Netflix original title,2238,None,20,112,41,55,2238
135,136,https://flixpatrol.com/title/elite-short-stories-carla-samuel/,n/a,Elite Short Stories: Carla Samuel,Netflix original title,2229,None,53,42,14,159,2229
136,137,https://flixpatrol.com/title/girl-from-nowhere/,n/a,Girl from Nowhere,Netflix original title,2220,None,13,171,63,35,2220
137,138,https://flixpatrol.com/title/tiny-pretty-things/,n/a,Tiny Pretty Things,Netflix original title,2196,None,57,39,33,67,2196
138,139,https://flixpatrol.com/title/capitani/,n/a,Capitani,Netflix original title,2120,None,49,43,64,33,2120
139,140,https://flixpatrol.com/title/the-sons-of-sam-a-descent-into-darkness/,n/a,The Sons of Sam: A Descent Into Darkness,Netflix original title,2108,None,49,43,17,124,2108
140,141,https://flixpatrol.com/title/love-alarm/,n/a,Love Alarm,Netflix original title,2068,None,56,37,22,94,2068
141,142,https://flixpatrol.com/title/halston/,n/a,Halston,Netflix original title,2015,None,47,43,18,112,2015
142,143,https://flixpatrol.com/title/rupauls-drag-race/,n/a,RuPaul's Drag Race,The general title,2005,None,25,80,74,27,2005
143,144,https://flixpatrol.com/title/castlevania/,n/a,Castlevania,Netflix original title,1957,None,67,29,20,98,1957
144,145,https://flixpatrol.com/title/workin-moms/,n/a,Workin' Moms,Netflix original title,1924,None,47,41,18,107,1924
145,146,https://flixpatrol.com/title/attenboroughs-life-in-colour/,n/a,Attenborough's Life in Colour,Netflix original title,1908,None,51,37,13,147,1908
146,147,https://flixpatrol.com/title/crash-landing-on-you/,n/a,Crash Landing on You,Netflix original title,1891,None,9,210,180,11,1891
147,148,https://flixpatrol.com/title/fatma-2021/,n/a,Fatma,Netflix original title,1680,None,44,38,47,36,1680
148,149,https://flixpatrol.com/title/sweet-home-2020/,n/a,Sweet Home,Netflix original title,1656,None,22,75,50,33,1656
149,150,https://flixpatrol.com/title/outlander-2014/,n/a,Outlander,The general title,1642,None,22,75,104,16,1642
150,151,https://flixpatrol.com/title/beauty-and-the-baker/,n/a,Beauty and the Baker,The general title,1638,None,18,91,28,58,1638
151,152,https://flixpatrol.com/title/zero-chill/,n/a,Zero Chill,Netflix original title,1631,None,49,33,20,82,1631
